num,dt,id,imgURL,imgFile,episode,sz,typ,p,accx,accy,accz,magx,magy,magz,red,green,blue,lum,tem,g,lat,lon,latitude longitude,locInterpolated,alt,gs,herr,verr,exp,gain,rbal,gbal,bbal,xor,yor,zor,stags,tags
13,2014-03-04T11:01:34+0000,B00000015_21I4N2_20140304_110133,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000015_21I4N2_20140304_1101334.jpg,B00000015_21I4N2_20140304_1101334.jpg,0,4014,2,1,-0.167,-0.336,-0.073,-0.128,-0.319,0.123,52154,62755,51710,65535,39.7,1,-33.867354,151.2218548,-33.867354 151.2218548,1,19,0,0,0,1,1.25,1.625,1,1,85.958,-86.96,249.4,0,
14,2014-03-04T11:02:01+0000,B00000016_21I4N2_20140304_110201,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000016_21I4N2_20140304_1102014.jpg,B00000016_21I4N2_20140304_1102014.jpg,0,4014,2,1,0.005,-1.281,0.403,0.17,-0.327,0.103,5817,5746,3870,11336,39.7,1,-33.86712933,151.2218512,-33.8671293333 151.2218512,1,19.08333333,0,0,0,5,3.5,1.531,1,1.406,88.635,-89.06,8.0674,0,
15,2014-03-04T11:02:32+0000,B00000017_21I4N2_20140304_110231,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000017_21I4N2_20140304_1102314.jpg,B00000017_21I4N2_20140304_1102314.jpg,0,4014,2,1,0.146,-0.967,-0.214,-0.04,-0.385,0.107,1460,1412,1096,2580,33,1,-33.86690467,151.2218476,-33.8669046667 151.2218476,1,19.16666667,0,0,0,5,6.75,1.406,1,1.375,91.388,-86.96,232.66,0,
16,2014-03-04T11:02:59+0000,B00000018_21I4N2_20140304_110258,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000018_21I4N2_20140304_1102584.jpg,B00000018_21I4N2_20140304_1102584.jpg,0,4014,2,1,-0.183,-0.328,-0.004,-0.152,-0.352,0.173,18070,22484,13167,42082,33,1,-33.86668,151.221844,-33.86668 151.221844,1,19.25,0,0,0,4,1.25,1.563,1,1.438,88.578,-86.72,236.24,0,
17,2014-03-04T11:03:25+0000,B00000019_21I4N2_20140304_110325,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000019_21I4N2_20140304_1103254.jpg,B00000019_21I4N2_20140304_1103254.jpg,0,4014,2,1,0.048,-0.233,0.102,-0.107,-0.339,0.215,9575,10204,7668,19765,24.4,1,-33.86645533,151.2218404,-33.8664553333 151.2218404,1,19.33333333,0,0,0,4,1.25,1.5,1,1.406,86.356,-88.18,216.59,0,
18,2014-03-04T11:03:52+0000,B00000020_21I4N2_20140304_110351,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000020_21I4N2_20140304_1103514.jpg,B00000020_21I4N2_20140304_1103514.jpg,1,4014,2,1,0.274,-1.354,-0.171,-0.197,-0.357,0.15,9956,10963,8225,22673,24.4,1,-33.86623067,151.2218368,-33.8662306667 151.2218368,1,19.41666667,0,0,0,5,2.5,1.469,1,1.375,87.429,-91.29,212.19,0,
19,2014-03-04T11:04:18+0000,B00000021_21I4N2_20140304_110417,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000021_21I4N2_20140304_1104174.jpg,B00000021_21I4N2_20140304_1104174.jpg,1,4014,2,1,0.032,-0.319,0.109,-0.054,-0.324,0.237,17657,21990,13819,43410,24.4,1,-33.866006,151.2218332,-33.866006 151.2218332,1,19.5,0,0,0,3,1.25,1.469,1,1.313,87.814,-89.91,212.7,0,
20,2014-03-04T11:04:44+0000,B00000022_21I4N2_20140304_110443,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000022_21I4N2_20140304_1104434.jpg,B00000022_21I4N2_20140304_1104434.jpg,1,4014,2,1,-0.235,-1.498,-0.288,-0.112,-0.358,0.182,28939,32809,21771,65230,24.4,1,-33.86578133,151.2218296,-33.8657813333 151.2218296,1,19.58333333,0,0,0,2,1.25,1.5,1,1.313,82.289,-87.68,226.65,0,
21,2014-03-04T11:05:10+0000,B00000023_21I4N2_20140304_110510,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000023_21I4N2_20140304_1105104.jpg,B00000023_21I4N2_20140304_1105104.jpg,1,4014,2,1,-0.023,-1.088,-0.206,-0.027,-0.318,-0.392,548,779,661,1806,24.4,1,-33.86555667,151.221826,-33.8655566667 151.221826,1,19.66666667,0,0,0,5,12,1.688,1,1.125,86.976,-86.61,22.388,0,
22,2014-03-04T11:05:39+0000,B00000024_21I4N2_20140304_110539,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000024_21I4N2_20140304_1105394.jpg,B00000024_21I4N2_20140304_1105394.jpg,1,4014,2,1,0.119,-0.588,0.236,-0.125,-0.285,0.212,43221,53737,41433,65535,24.4,1,-33.865332,151.2218224,-33.865332 151.2218224,1,19.75,0,0,0,1,1.25,1.656,1,1.094,87.099,-83.54,230.34,0,
23,2014-03-04T11:06:05+0000,B00000025_21I4N2_20140304_110604,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000025_21I4N2_20140304_1106044.jpg,B00000025_21I4N2_20140304_1106044.jpg,1,4014,2,1,-0.221,-0.922,-0.235,0.101,-0.443,0.022,15829,16163,12958,43819,31.7,1,-33.86510733,151.2218188,-33.8651073333 151.2218188,1,19.83333333,0,0,0,2,1.25,1.5,1,1.188,93.256,-87.32,110.32,0,
24,2014-03-04T11:06:31+0000,B00000026_21I4N2_20140304_110630,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000026_21I4N2_20140304_1106304.jpg,B00000026_21I4N2_20140304_1106304.jpg,1,4014,2,1,0.054,-1.019,0.245,-0.172,-0.387,0.252,65535,65535,65535,65535,31.7,1,-33.86488267,151.2218152,-33.8648826667 151.2218152,1,19.91666667,0,0,0,0,1.31,1.688,1,1,81.803,-84.73,233.09,0,
25,2014-03-04T11:06:57+0000,B00000027_21I4N2_20140304_110657,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000027_21I4N2_20140304_1106574.jpg,B00000027_21I4N2_20140304_1106574.jpg,1,4014,2,1,0.061,-1.037,-0.232,0.199,-0.406,-0.065,18210,19567,13254,47029,31.7,1,-33.864658,151.2218116,-33.864658 151.2218116,1,20,0,0,0,2,1.25,1.438,1,1.219,94.518,-85.99,81.861,0,
26,2014-03-04T11:07:23+0000,B00000028_21I4N2_20140304_110723,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000028_21I4N2_20140304_1107234.jpg,B00000028_21I4N2_20140304_1107234.jpg,1,4014,2,1,0.125,-1.744,-0.215,0.063,-0.367,0.14,5405,6268,4640,14786,31.7,1,-33.86443333,151.221808,-33.8644333333 151.221808,1,20.08333333,0,0,0,4,1.25,1.469,1,1.188,99.001,-91.64,182.29,0,
27,2014-03-04T11:07:49+0000,B00000029_21I4N2_20140304_110749,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000029_21I4N2_20140304_1107494.jpg,B00000029_21I4N2_20140304_1107494.jpg,1,4014,2,1,0.366,-0.97,-0.314,-0.16,-0.433,-0.207,34871,41084,32786,65535,31.7,1,-33.86420867,151.2218044,-33.8642086667 151.2218044,1,20.16666667,0,0,0,1,1.31,1.719,1,1.031,98.356,-86.98,274.07,0,
28,2014-03-04T11:08:16+0000,B00000030_21I4N2_20140304_110816,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000030_21I4N2_20140304_1108164.jpg,B00000030_21I4N2_20140304_1108164.jpg,1,4014,2,1,-0.281,-1.049,-0.471,0.046,-0.419,0.003,49789,65535,53388,65535,31.7,1,-33.863984,151.2218008,-33.863984 151.2218008,1,20.25,0,0,0,1,1.25,1.938,1.031,1,90.717,-96.87,283.53,0,
29,2014-03-04T11:08:45+0000,B00000031_21I4N2_20140304_110844,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000031_21I4N2_20140304_1108444.jpg,B00000031_21I4N2_20140304_1108444.jpg,1,4014,2,1,0.014,-1.055,-0.049,-0.263,-0.47,-0.248,39102,55454,49987,65535,31.7,1,-33.86375933,151.2217972,-33.8637593333 151.2217972,1,20.33333333,0,0,0,1,1.31,1.938,1,1,88.978,-90.55,311.77,0,
30,2014-03-04T11:09:11+0000,B00000032_21I4N2_20140304_110910,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000032_21I4N2_20140304_1109104.jpg,B00000032_21I4N2_20140304_1109104.jpg,1,4014,2,0,0.032,-1.044,-0.077,-0.264,-0.469,-0.253,39262,55998,50391,65535,31.7,1,-33.86353467,151.2217936,-33.8635346667 151.2217936,1,20.41666667,0,0,0,1,1.25,1.938,1,1,92.71,-89.13,306.72,0,
31,2014-03-04T11:09:34+0000,B00000033_21I4N2_20140304_110933,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000033_21I4N2_20140304_1109334.jpg,B00000033_21I4N2_20140304_1109334.jpg,1,4014,2,0,-0.009,-0.991,-0.101,-0.263,-0.469,-0.253,39302,56004,50343,65535,31.7,2,-33.86331,151.22179,-33.86331 151.22179,0,20.5,0.8,24.89,8.07,1,1.31,1.938,1,1,92.826,-89,306.45,0,
32,2014-03-04T11:10:08+0000,B00000034_21I4N2_20140304_111008,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000034_21I4N2_20140304_1110084.jpg,B00000034_21I4N2_20140304_1110084.jpg,1,4014,2,0,0.022,-1.017,-0.033,-0.264,-0.469,-0.25,39411,56215,50392,65535,28.4,2,-33.86326,151.2218,-33.86326 151.22180,0,48.9,0.1,14.31,2.95,1,1.25,1.938,1,1,92.879,-89.03,306.48,0,
33,2014-03-04T11:10:42+0000,B00000035_21I4N2_20140304_111041,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000035_21I4N2_20140304_1110414.jpg,B00000035_21I4N2_20140304_1110414.jpg,1,4014,2,0,0.048,-1.065,-0.057,-0.266,-0.472,-0.257,39623,56566,50658,65535,28.4,2,-33.8633,151.22181,-33.86330 151.22181,0,36.7,0.4,12.64,2.18,1,1.25,1.938,1,1,92.793,-89.07,306.86,0,
34,2014-03-04T11:11:16+0000,B00000036_21I4N2_20140304_111115,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000036_21I4N2_20140304_1111154.jpg,B00000036_21I4N2_20140304_1111154.jpg,1,4014,2,0,-0.013,-0.998,-0.01,-0.264,-0.472,-0.255,40183,57179,50878,65535,25.6,2,-33.86331,151.22181,-33.86331 151.22181,0,34.5,0.4,12.84,2.03,1,1.31,1.938,1,1,92.81,-89.07,306.57,0,
35,2014-03-04T11:11:52+0000,B00000037_21I4N2_20140304_111152,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000037_21I4N2_20140304_1111524.jpg,B00000037_21I4N2_20140304_1111524.jpg,1,4014,2,0,0.052,-1.05,-0.024,-0.266,-0.47,-0.258,35375,50320,45807,65535,25.6,2,-33.86329,151.2218,-33.86329 151.22180,0,33.1,0.2,13.97,1.95,1,1.25,1.938,1,1,92.85,-89.05,306.7,0,
36,2014-03-04T11:12:26+0000,B00000038_21I4N2_20140304_111225,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000038_21I4N2_20140304_1112254.jpg,B00000038_21I4N2_20140304_1112254.jpg,1,4014,2,0,0.006,-1.011,-0.047,-0.264,-0.475,-0.257,32743,46745,43130,65535,25.6,2,-33.86328,151.22178,-33.86328 151.22178,0,33.4,0.3,12.95,2.08,1,1.25,1.938,1,1,92.736,-89.07,306.84,0,
37,2014-03-04T11:13:00+0000,B00000039_21I4N2_20140304_111259,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000039_21I4N2_20140304_1112594.jpg,B00000039_21I4N2_20140304_1112594.jpg,1,4014,2,0,-0.016,-1.026,-0.002,-0.267,-0.472,-0.253,32799,47170,43461,65535,25.6,2,-33.86336,151.22181,-33.86336 151.22181,0,26.8,0.2,8.88,2.08,1,1.31,1.938,1,1,92.847,-89.05,306.69,0,
38,2014-03-04T11:13:34+0000,B00000040_21I4N2_20140304_111333,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000040_21I4N2_20140304_1113334.jpg,B00000040_21I4N2_20140304_1113334.jpg,1,4014,2,0,0.008,-1.035,-0.071,-0.263,-0.472,-0.255,32518,46735,43147,65535,25.6,2,-33.86325,151.2218,-33.86325 151.22180,0,25.5,0.2,10.57,2.26,1,1.25,1.938,1,1,92.871,-89.13,306.72,0,
39,2014-03-04T11:14:08+0000,B00000041_21I4N2_20140304_111407,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000041_21I4N2_20140304_1114074.jpg,B00000041_21I4N2_20140304_1114074.jpg,1,4014,2,0,-0.039,-1.045,-0.062,-0.267,-0.472,-0.253,36075,51760,46505,65535,25.6,2,-33.86324,151.2218,-33.86324 151.22180,0,26,0.1,15.3,2.42,1,1.31,1.938,1,1,92.832,-89.11,306.7,0,
40,2014-03-04T11:14:42+0000,B00000042_21I4N2_20140304_111441,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000042_21I4N2_20140304_1114414.jpg,B00000042_21I4N2_20140304_1114414.jpg,1,4014,2,0,0.012,-1.035,-0.043,-0.266,-0.475,-0.253,37560,53937,48382,65535,26.8,2,-33.8633,151.22181,-33.86330 151.22181,0,29.1,0.3,13.37,2.32,1,1.25,1.938,1,1,92.842,-89.12,306.74,0,
