num,dt,sec,id,imgURL,imgFile,episode,priority,sz,typ,p,accx,accy,accz,magx,magy,magz,red,green,blue,lum,tem,g,lat,lon,latitude longitude,locInterpolated,heading,speed,distance,alt,gs,herr,verr,exp,gain,rbal,gbal,bbal,xor,yor,zor,stags,tags,lat_smooth,lon_smooth,lat_lon_smooth,heading_smooth
21,2013-12-15T08:27:52+0100,210,B00000037_21I558_20131215_082752,https://googledrive.com/host/0ByZPttHNHiZ0RHZZcWROb2JxOGM/g2_a2_sml_021.jpg,g2_a2_sml_021.jpg,,1,4014,2,1,0.144,-0.961,-0.029,0.073,-0.287,-0.319,29902,35739,30592,65535,32.4,2,-33.98926,151.2358,-33.98926 151.23580,0,22,0.19,2.41,33.9,0.4,9.42,1.79,2,1.25,1.813,1,1.125,93.885,-85.79,47.101,0,,-33.9891433333,151.235336667,-33.9891433333 151.235336667,278
56,2013-12-15T08:33:43+0100,561,B00000072_21I558_20131215_083343,https://googledrive.com/host/0ByZPttHNHiZ0RHZZcWROb2JxOGM/g2_a2_sml_056.jpg,g2_a2_sml_056.jpg,,1,4014,2,1,0.033,-0.475,-0.316,0.112,-0.275,-0.307,65535,65535,45508,65535,25.7,2,-33.98907,151.23433,-33.98907 151.23433,0,238,1.2,10.77,29.3,1.6,13.84,1.81,1,1.25,1.594,1,1.508,108.27,-93.37,30.666,0,,-33.9891733333,151.23474,-33.9891733333 151.23474,238
63,2013-12-15T08:34:47+0100,625,B00000079_21I558_20131215_083447,https://googledrive.com/host/0ByZPttHNHiZ0RHZZcWROb2JxOGM/g2_a2_sml_063.jpg,g2_a2_sml_063.jpg,,1,4014,2,1,-0.329,-0.61,-0.403,0.02,-0.239,-0.401,25770,24807,16744,55298,24.8,2,-33.98919,151.23409,-33.98919 151.23409,0,219,0.64,5.78,31.2,0.9,11.8,1.78,1,1.25,1.625,1,1.414,125.43,-85.33,7.7737,0,,-33.98915,151.234106667,-33.98915 151.234106667,269
76,2013-12-15T08:36:57+0100,755,B00000092_21I558_20131215_083657,https://googledrive.com/host/0ByZPttHNHiZ0RHZZcWROb2JxOGM/g2_a2_sml_076.jpg,g2_a2_sml_076.jpg,,1,4014,2,1,0.172,-0.607,-0.399,-0.021,-0.246,-0.408,5760,6705,5513,15560,11.8,2,-33.98919,151.2339,-33.98919 151.23390,0,0,0.09,1.12,27.6,0.2,42.73,1.7,5,1.88,1.875,1,1.102,117.7,-87.12,5.4457,0,,-33.9891433333,151.233966667,-33.9891433333 151.233966667,3
78,2013-12-15T08:37:20+0100,778,B00000094_21I558_20131215_083720,https://googledrive.com/host/0ByZPttHNHiZ0RHZZcWROb2JxOGM/g2_a2_sml_078.jpg,g2_a2_sml_078.jpg,,1,4014,2,1,-0.011,-0.502,-0.786,0.102,-0.143,-0.441,174,230,247,515,11.8,2,-33.98905,151.23391,-33.98905 151.23391,0,196,2.66,26.62,27.8,0.7,50.66,1.82,20,1.63,2,1,1.219,127.56,-90.53,108.75,0,,-33.9892133333,151.233903333,-33.9892133333 151.233903333,181
80,2013-12-15T08:37:39+0100,797,B00000096_21I558_20131215_083739,https://googledrive.com/host/0ByZPttHNHiZ0RHZZcWROb2JxOGM/g2_a2_sml_080.jpg,g2_a2_sml_080.jpg,,1,4014,2,1,0,-0.955,0.02,-0.015,-0.31,-0.333,15841,22128,21655,54356,11.8,2,-33.9894,151.2339,-33.98940 151.23390,0,325,1.01,8.11,27.9,0.2,32.98,1.66,8,1.25,1.938,1,1.219,94.456,-90.93,4.7646,0,,-33.9892833333,151.233873333,-33.9892833333 151.233873333,269
82,2013-12-15T08:37:59+0100,817,B00000098_21I558_20131215_083759,https://googledrive.com/host/0ByZPttHNHiZ0RHZZcWROb2JxOGM/g2_a2_sml_082.jpg,g2_a2_sml_082.jpg,,1,4014,2,1,0.222,-0.883,-0.251,0.079,-0.234,-0.39,15113,15494,10499,30955,11.8,2,-33.9894,151.23381,-33.98940 151.23381,0,15,0.46,6.92,27.9,0.2,40.68,1.72,5,3.13,1.813,1,1.219,108.42,-87.96,5.5874,0,,-33.98946,151.23384,-33.98946 151.23384,180
92,2013-12-15T08:40:00+0100,938,B00000108_21I558_20131215_083959,https://googledrive.com/host/0ByZPttHNHiZ0RHZZcWROb2JxOGM/g2_a2_sml_092.jpg,g2_a2_sml_092.jpg,,1,4014,2,1,0.381,-0.224,-0.771,-0.012,-0.22,-0.434,13106,13849,8305,27135,11.8,2,-33.98958,151.23381,-33.98958 151.23381,0,244,0.64,5.12,28.7,0.1,17.42,2.4,5,1.25,1.687,1,1.281,147.57,-40.46,249.65,0,,-33.98953,151.233786667,-33.98953 151.233786667,242
94,2013-12-15T08:40:20+0100,958,B00000110_21I558_20131215_084020,https://googledrive.com/host/0ByZPttHNHiZ0RHZZcWROb2JxOGM/g2_a2_sml_094.jpg,g2_a2_sml_094.jpg,,1,4014,2,1,0.066,-0.944,-0.141,0.167,-0.267,-0.28,9325,10076,6298,21549,11.8,2,-33.98961,151.23374,-33.98961 151.23374,0,0,0.37,3.34,29.1,0.8,20.46,2.19,5,3.5,1.624,1,1.219,98.446,-90.81,32.065,0,,-33.9895933333,151.233763333,-33.9895933333 151.233763333,0
96,2013-12-15T08:40:38+0100,976,B00000112_21I558_20131215_084038,https://googledrive.com/host/0ByZPttHNHiZ0RHZZcWROb2JxOGM/g2_a2_sml_096.jpg,g2_a2_sml_096.jpg,,1,4014,2,1,-0.103,-0.958,0.066,-0.185,-0.288,-0.319,12535,15604,12189,33901,25.3,2,-33.98959,151.23374,-33.98959 151.23374,0,90,0.18,1.84,28.7,0.4,21.88,1.78,5,1.69,1.624,1,1.25,107.5,-84.51,3.4622,0,,-33.9896266667,151.233703333,-33.9896266667 151.233703333,225
